case_id,mode,region,policy,bundle,committed_bundle,lever,lever_position,lever_value,cav_template,sti_template,retire_year,paper_safe_badge,radio_fixed,radio_low,radio_medium,radio_high,top_driver_2030,top_driver_2050,top_driver_2075,live_p50_2030,live_p50_2050,live_p50_2075,warnings,bundle_p05_2030,bundle_p50_2030,bundle_p95_2030,bundle_p05_2050,bundle_p50_2050,bundle_p95_2050,bundle_p05_2075,bundle_p50_2075,bundle_p95_2075,bundle_interp_boundary,bundle_degenerate
0,lever_sweep,california,baseline,default,default,cav_growth_rate,state_default,0.45,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
1,lever_sweep,california,baseline,default,default,cav_growth_rate,minus_25pct,0.3375,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,5438711355.851432,2815030907.0321083,106504060.47370331,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
2,lever_sweep,california,baseline,default,default,cav_growth_rate,plus_25pct,0.5625,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,8993974456.957266,4662347775.818201,145690665.71409786,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
3,lever_sweep,california,baseline,default,default,cav_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,105824911.0123519,44055470.94472663,47724159.23120682,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
4,lever_sweep,california,baseline,default,default,cav_growth_rate,slider_max,0.95,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,15116917300.58956,7843837964.943888,213178708.07255518,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
5,lever_sweep,california,baseline,default,default,sti_growth_rate,state_default,0.5,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
6,lever_sweep,california,baseline,default,default,sti_growth_rate,minus_25pct,0.375,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7194133000.296429,3727897230.6528444,114276741.69657904,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
7,lever_sweep,california,baseline,default,default,sti_growth_rate,plus_25pct,0.625,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7238474527.653677,3749422665.726661,137807899.04806545,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
8,lever_sweep,california,baseline,default,default,sti_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7126956264.597263,3695205680.9365067,78374107.94482344,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
9,lever_sweep,california,baseline,default,default,sti_growth_rate,slider_max,0.95,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7295565599.402301,3777012048.302785,167296856.34230912,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
10,lever_sweep,california,baseline,default,default,ev_growth_rate,state_default,0.07,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
11,lever_sweep,california,baseline,default,default,ev_growth_rate,minus_25pct,0.052500000000000005,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7258808735.079786,4135125529.822632,3146150253.794404,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
12,lever_sweep,california,baseline,default,default,ev_growth_rate,plus_25pct,0.08750000000000001,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7170263749.241659,3142126509.221979,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
13,lever_sweep,california,baseline,default,default,ev_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7366727561.134021,4679880556.872787,6665207605.532653,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
14,lever_sweep,california,baseline,default,default,ev_growth_rate,slider_max,0.5,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,4246071758.022971,98395239.7924912,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
15,lever_sweep,california,baseline,default,default,clean_energy_growth_rate,state_default,0.05,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
16,lever_sweep,california,baseline,default,default,clean_energy_growth_rate,minus_25pct,0.037500000000000006,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7250902949.416337,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
17,lever_sweep,california,baseline,default,default,clean_energy_growth_rate,plus_25pct,0.0625,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7179676045.485047,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
18,lever_sweep,california,baseline,default,default,clean_energy_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7342823361.789011,4043470101.6956253,805678085.2612953,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
19,lever_sweep,california,baseline,default,default,clean_energy_growth_rate,slider_max,0.3,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7147813852.296085,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
20,lever_sweep,california,baseline,default,default,efficiency_doubling_years,state_default,2.8,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
21,lever_sweep,california,baseline,default,default,efficiency_doubling_years,minus_25pct,2.0999999999999996,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,6259165951.509904,2678152193.1253047,118946192.83003965,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
22,lever_sweep,california,baseline,default,default,efficiency_doubling_years,plus_25pct,3.5,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7913962627.269584,5577687866.140336,133898288.2828964,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
23,lever_sweep,california,baseline,default,default,efficiency_doubling_years,slider_min,1.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,3911759265.1687846,2285861806.9115815,107999006.95358706,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
24,lever_sweep,california,baseline,default,default,efficiency_doubling_years,slider_max,20.0,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,11137892959.682642,61801626251.33812,1138223770.0417552,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
25,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Basic-heavy (default),10,True,9,20,0,0,F23,F27,F25,8608165212.539345,3522859034.9417906,127758214.67867212,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
26,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
27,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Basic-heavy (default),15,True,9,20,0,0,F23,F27,F25,5823752214.876692,4233193813.8355064,123630452.00890678,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
28,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Balanced,10,True,9,20,0,0,F23,F27,F25,8621413592.550316,3529141991.3869553,134449242.192453,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
29,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Balanced,12,True,9,20,0,0,F23,F27,F25,7229597451.268934,3744972533.8883753,132788390.60768145,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
30,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Balanced,15,True,9,20,0,0,F23,F27,F25,5837000594.887662,4239476770.280671,130321479.52268767,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
31,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Highly-automated-forward,10,True,9,20,0,0,F23,F27,F25,8663338193.77271,3548995363.5095367,155554297.19719303,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
32,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Highly-automated-forward,12,True,9,20,0,0,F23,F27,F25,7271522052.491331,3764825906.010957,153893445.61242145,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
33,template_sweep,california,baseline,default,default,,state_default_all,,L3-heavy (default),Highly-automated-forward,15,True,9,20,0,0,F23,F27,F25,5878925196.110059,4259330142.4032526,151426534.52742767,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
34,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Basic-heavy (default),10,True,9,20,0,0,F23,F27,F25,9883333478.676615,4021567741.3847656,138980248.54856429,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
35,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,8283176018.111556,4270856650.1813135,137086823.0384754,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
36,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Basic-heavy (default),15,True,9,20,0,0,F23,F27,F25,6682120987.069924,4841132666.058351,134274701.42200536,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
37,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Balanced,10,True,9,20,0,0,F23,F27,F25,9896581858.687586,4027850697.8299303,145671276.06234518,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
38,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Balanced,12,True,9,20,0,0,F23,F27,F25,8296424398.122526,4277139606.626478,143777850.55225626,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
39,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Balanced,15,True,9,20,0,0,F23,F27,F25,6695369367.080894,4847415622.503515,140965728.93578625,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
40,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Highly-automated-forward,10,True,9,20,0,0,F23,F27,F25,9938506459.909983,4047704069.952512,166776331.0670852,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
41,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Highly-automated-forward,12,True,9,20,0,0,F23,F27,F25,8338348999.344923,4296992978.74906,164882905.5569963,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
42,template_sweep,california,baseline,default,default,,state_default_all,,Balanced,Highly-automated-forward,15,True,9,20,0,0,F23,F27,F25,6737293968.303291,4867268994.626096,162070783.94052625,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
43,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Basic-heavy (default),10,True,9,20,0,0,F23,F27,F25,11270936668.25092,4615181035.492376,152938155.55613446,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
44,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Basic-heavy (default),12,True,9,20,0,0,F23,F27,F25,9444071269.846277,4898228057.943255,150754715.86554554,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
45,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Basic-heavy (default),15,True,9,20,0,0,F23,F27,F25,7616181120.851758,5546927097.393121,147511538.32065862,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
46,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Balanced,10,True,9,20,0,0,F23,F27,F25,11284185048.26189,4621463991.937541,159629183.06991532,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
47,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Balanced,12,True,9,20,0,0,F23,F27,F25,9457319649.857248,4904511014.38842,157445743.37932643,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
48,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Balanced,15,True,9,20,0,0,F23,F27,F25,7629429500.862728,5553210053.838285,154202565.83443952,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
49,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Highly-automated-forward,10,True,9,20,0,0,F23,F27,F25,11326109649.484287,4641317364.060122,180734238.07465535,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
50,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Highly-automated-forward,12,True,9,20,0,0,F23,F27,F25,9499244251.079645,4924364386.511001,178550798.38406646,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
51,template_sweep,california,baseline,default,default,,state_default_all,,L4-forward,Highly-automated-forward,15,True,9,20,0,0,F23,F27,F25,7671354102.085125,5573063425.960866,175307620.83917952,,4216663186.369075,5349962475.769203,6630023496.349793,2951881679.3025517,3669569189.2353854,4573644125.592372,90658698.69854936,131362055.22737122,193030955.67267236,,False
52,lever_sweep,california,baseline,paper-safe,paper-safe,cav_growth_rate,state_default,0.45,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
53,lever_sweep,california,baseline,paper-safe,paper-safe,cav_growth_rate,minus_25pct,0.3375,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,5438711355.851432,2815030907.0321083,106504060.47370331,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
54,lever_sweep,california,baseline,paper-safe,paper-safe,cav_growth_rate,plus_25pct,0.5625,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,8993974456.957266,4662347775.818201,145690665.71409786,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
55,lever_sweep,california,baseline,paper-safe,paper-safe,cav_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,105824911.0123519,44055470.94472663,47724159.23120682,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
56,lever_sweep,california,baseline,paper-safe,paper-safe,cav_growth_rate,slider_max,0.95,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,15116917300.58956,7843837964.943888,213178708.07255518,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
57,lever_sweep,california,baseline,paper-safe,paper-safe,sti_growth_rate,state_default,0.5,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
58,lever_sweep,california,baseline,paper-safe,paper-safe,sti_growth_rate,minus_25pct,0.375,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7194133000.296429,3727897230.6528444,114276741.69657904,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
59,lever_sweep,california,baseline,paper-safe,paper-safe,sti_growth_rate,plus_25pct,0.625,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7238474527.653677,3749422665.726661,137807899.04806545,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
60,lever_sweep,california,baseline,paper-safe,paper-safe,sti_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7126956264.597263,3695205680.9365067,78374107.94482344,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
61,lever_sweep,california,baseline,paper-safe,paper-safe,sti_growth_rate,slider_max,0.95,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7295565599.402301,3777012048.302785,167296856.34230912,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
62,lever_sweep,california,baseline,paper-safe,paper-safe,ev_growth_rate,state_default,0.07,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
63,lever_sweep,california,baseline,paper-safe,paper-safe,ev_growth_rate,minus_25pct,0.052500000000000005,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7258808735.079786,4135125529.822632,3146150253.794404,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
64,lever_sweep,california,baseline,paper-safe,paper-safe,ev_growth_rate,plus_25pct,0.08750000000000001,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7170263749.241659,3142126509.221979,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
65,lever_sweep,california,baseline,paper-safe,paper-safe,ev_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7366727561.134021,4679880556.872787,6665207605.532653,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
66,lever_sweep,california,baseline,paper-safe,paper-safe,ev_growth_rate,slider_max,0.5,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,4246071758.022971,98395239.7924912,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
67,lever_sweep,california,baseline,paper-safe,paper-safe,clean_energy_growth_rate,state_default,0.05,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
68,lever_sweep,california,baseline,paper-safe,paper-safe,clean_energy_growth_rate,minus_25pct,0.037500000000000006,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7250902949.416337,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
69,lever_sweep,california,baseline,paper-safe,paper-safe,clean_energy_growth_rate,plus_25pct,0.0625,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7179676045.485047,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
70,lever_sweep,california,baseline,paper-safe,paper-safe,clean_energy_growth_rate,slider_min,0.0,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7342823361.789011,4043470101.6956253,805678085.2612953,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
71,lever_sweep,california,baseline,paper-safe,paper-safe,clean_energy_growth_rate,slider_max,0.3,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7147813852.296085,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
72,lever_sweep,california,baseline,paper-safe,paper-safe,efficiency_doubling_years,state_default,2.8,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7216349071.257964,3738689577.4432106,126097363.09390056,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
73,lever_sweep,california,baseline,paper-safe,paper-safe,efficiency_doubling_years,minus_25pct,2.0999999999999996,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,6259165951.509904,2678152193.1253047,118946192.83003965,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
74,lever_sweep,california,baseline,paper-safe,paper-safe,efficiency_doubling_years,plus_25pct,3.5,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,7913962627.269584,5577687866.140336,133898288.2828964,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
75,lever_sweep,california,baseline,paper-safe,paper-safe,efficiency_doubling_years,slider_min,1.0,L3-heavy (default),Basic-heavy (default),12,True,7,5,17,0,F23,F27,F25,3911759265.1687846,2285861806.9115815,107999006.95358706,,2204789491.9551125,4437073827.13871,9463420774.0358,1627702268.480728,3411841280.7862844,9834260958.190628,83329765.5110422,254787214.92892575,4962992159.127859,2028.0,False
